,Question,Right answer
295,Is Lysichiton and Ageratum geus in the same family?,no
296,A 2001 Indian epic sports-drama film starred an actor who was also know for his role in what 1999 movie?,Sarfarosh
297,"Huddersfield Giants R.L.F.C. are an English professional rugby league club from Huddersfield, West Yorkshire, the birthplace of rugby league, who play in the Super League competition, they play their home games at the Kirklees Stadium which is shared with Huddersfield Town F.C., is a multi-use sports stadium in Huddersfield in West Yorkshire, in which country?",England
298,"Javier Mora, is a Mexican boxer in the Heavyweight division, he was defeated by Alexander Vladimirovich ""Sasha"" Povetkin, by a 5-round TKO, in which country?",Germany
299,"Dixit Dominus is a psalm setting by who, which was a German, later British, baroque composer who spent the bulk of his career in London, becoming well known for his operas, oratorios, anthems, and organ concertos?",George Frideric Handel
300,Who is the Russian figure skater who danced with a Russian pair skater and in 1988 and 1994.,Ekaterina Gordeeva
301,It Takes a Family is a response to this 1996 book that was published by who,Hillary Rodham Clinton
302,The 2016 Washington State Cougars were led by the coach who previously helmed which other team?,Texas Tech Red Raiders
303,"The San Diego Gulls are a professional ice hockey team in the American Hockey League (AHL) which began playing in the 2015–16 season, the Gulls play their home games at which indoor arena located at Sports Arena Blvd in Point Loma, San Diego?",Valley View Casino Center
304,Which show connects Arthur Darvill and Matt Smith?,Doctor Who
305,"The Acolytes Protection Agency consisted of what wrestler born November 29, 1966",John Layfield
306,"Which K283BV artist is from Columbus, Ohio?",Twenty One Pilots
307,"What host of The Voice UK was in ""Doctor Who""?",Reggie Yates
308,What era was the man associated with Fanny Talbot the leading art critic of?,Victorian era
309,Who wrote the song that caused the Columbia Kingsmen to change their name to Sha Na Na?,Richard Berry
310,"Which guest who appeared in the album ""Animal Ambition"" was born with the name Albert Johnson?",Prodigy
311,In what city was the rock band formed which was paid tribute by Listen Without Distraction?,"Palm Desert, California"
312,What is found in Prochlorococcus and essential for photosynthesis?,Chlorophyll
313,"In which theatre in Los Angeles did the late-night talk show host of ""Chelsea Lately"" host the 2010 MTV Video Music Awards?",Nokia Theatre
314,"Brian Keith ""Herbie"" Flowers, is an English musician specialising in electric bass, double bass and tuba, he has contributed to the recording Give My Regards to Broad Street is the fifth studio album by who, as well as the soundtrack album to his 1984 film of the same name?",Paul McCartney
315,The First Silesian war was fought against the King of Prussia who died in what year?,1786
316,"The Chandrasekhar limit was named after an astrophysicist, what is the name of his uncle of which is also a novel laureate?",Sir C. V. Raman
317,What is the meaning of Trevor Prangley's other division the fought in aside from Light Weight?,refers to different weight classes
318,"Who acted in ""Shanghai Knights"" and voiced Lightning McQueen in the ""Cars"" franchise?",Owen Wilson
319,Which event was a surprise military strike by the Imperial Japanese Navy Air Service while Magruder Hill Tuttle was a senior officer in the United States Navy?,attack on Pearl Harbor
320,"Simone Kirby is an Irish actress, her credits include as Tracey Moynihan in which Irish dramatic television series broadcast, on RTÉ Television, the show aired between 2010 and 2014?",Love/Hate
321,Who did the professional tennis player currently ranked World No. 1 in men's singles defeat in the 2017 Barcelona Open Banco Sabadell - Singles?,Dominic Thiem
322,Which league does the 2010 head coach of the SMU Mustangs football team currently coach in?,Canadian Football League
323,Device – Voice – Drum is the fourth live album by a band that produced how many gold albums?,eight
324,"The band that released the album ""Let's Cheers to This"" is from what Florida city?",Orlando
325,Which breed of dog is now extinct: Chinese Crested Dog or the Chien-gris?,Chien-gris
326,Which African-American composer co-wrote Air?,Scott Joplin
327,"Anil V. Kumar,  is a television and film director and producer in India, his production house, Flying Turtle Films co-produced the movie ""Zanjeer"" starring Priyanka Chopra and which actor, and entrepreneur, who works in Telugu cinema?",Ram Charan
328,"On what date did a Canadian politician born January 2, 1979, succeed as leader of the New Democratic Party in Canada?",October 1st
329,Which was available first the No Card or the Octopus card?,Octopus card
330,What is the phrase that is commonly used on the day which is observed on 25 April each year?,Lest we forget
331,"Which band's song was used as the theme at the Pepsi Arena on January 8, 2006?",Disturbed
332,The Colts' first ever draft pick was a halfback who won the Heisman Trophy in what year?,1952
333,The Grand Lodge of the Republic of Liberia is based on a branch of North American Freemasonry founded on what date?,"September 29, 1784"
334,"The first female board member for the Liberal Party, she was born in which county in Norway?",Vestfold
335,Mary Small served the county whose seat is what town?,Bath
336,What 1998 film with Arthur Nascarella was directed by Tony Scott?,Enemy of the State
337,"In the draft of the 2017–18 Phoenix Suns season, The Phoneix Suns picked which player that played one season for the Kansas Jayhawks?",Josh Jackson
338,Which Byron Edmund Walker founded institution was originally controlled by the Church of England?,The University of Toronto
339,The weapon BFG is found in which game developed by id Software ?,Doom
340,Which court case concerned the president of the Foundation of Moral Law and a stone monument of the Ten Commandments?,Glassroth v. Moore
341,The 2016 Liberty Bowl was sponsored by a company based in what city?,Memphis
342,in the 2003-04 Wolfsburg signed a starlet from River Plate who plays in what position ?,attacking midfielder
343,"American actor, Peter Hansen, best known for his role on General Hospital, also starred in The War of the Roses with American film and stage actress and director who has won how many Golden Globe Awards?",two
344,Arthur Noss won a Military Cross as the gunner of a soldier born in which year ?,1892
345,"Who produced the movie that ""Puss in Boots: The Three Diablos"" is the sequel of?",DreamWorks Animation
346,On which former estate was the venue of Aloha from Hawaii Via Satellite located?,Ward Estate
347,Where is the record company based that was co founded by the frontman of Minor Threat and Fugazi?,"Washington, D.C."
348,"Kiawah Island, South Carolina was mentioned in ""Porgy and Bess,"" composed by the man best known for which other 1924 orchestral composition?",Rhapsody in Blue
349,"Richard Yates published a work by the name of ""Eleven Kinds of Loneliness"", one of Italo Calvino's best known works was of the same genre and named what?",Cosmicomics
350,"Extras, is a British sitcom about extras working in television, film, and theatre, the series was co-produced by the BBC and HBO and was created, written, and directed by Ricky Dene Gervais, an English comedian, actor, writer, producer, director, singer, and musician, born on which date?",25 June 1961
351,Are Patrick White and Katherine Anne Porter both writers?,yes
352,Who directed a 2016 musical filmed in Howth?,John Carney
353,Son of Paleface starred the comedian and vaudevilian of what nationality?,American
354,What television series did the actor that Penny Layden performed with in The Libertine star in and subsequently became a teen idol?,21 Jump Street
355,What network did the show on which Kim Roberts played Neeva air on?,FX
356,Which rivalry were involved in the chant referring to the United Kingdom's Victories of the First and Second World War?,England and West Germany
357,Marpessa Hennink modeled fashions created by which two Dolce & Gabbana founders and designers?,Domenico Dolce and Stefano Gabbana.
358,Formally the Games of the XXX Olympiad what sports event did Dirkie Chamberlain represent her country?,2012 Summer Olympics
359,Touch is a song from an album released under which labels ?,Syco Music and Columbia Records
360,When was the stadium Wollongong Wolves Football Club plays at opened?,1911
361,"Irma Pamela Hall, an American actress who has appeared in numerous films and television shows since the 1970s, and is best known for playing matriarchal figures including in which 2004 American black comedy thriller film directed by Joel and Ethan Coen?",The Ladykillers
362,"From an Andrey Zvyagintsev drama, which American city did the actual events upon which the drama is based take place?","Granby, Colorado"
363,Alan Furst and Lee Child are what?,is a British author
364,"Tenth Avenue Freeze-Out  is the second song on which of Bruce Springsteen's breakthrough album, that is the third studio album by American singer-songwriter Bruce Springstee?",Born to Run
365,What New York county is Hartland Swamp Wildlife Management Area located in?,Niagara County
366,In what city did Duane Swank get his PhD?,"Evanston, Illinois"
367,Which publication is published more often: Modern Drummer or Bookmarks?,Modern Drummer
368,"Which actress plays both Iris Carr in The Lady Vanishes, and Riley Blue in Sense8?",Tuppence Middleton
369,Mindless Self Indulgence and Tappi Tíkarrass are both what?,band
370,"Tothill Fields was an 18th-century area of Westminster in the county of Middlesex, a historic county in south-east region of which country?",England
371,What quarterback for the Atlanta Falcons did Baker Mayfield win the starting job at Oklahoma over?,Trevor Knight
372,"Terenzo is a city in the Province of Parma, which region of Italy is Terenzo located in?",northern Italian region
373,When was the  Prime Minister of India after which V. K. Krishna Menon was regarded as the second most powerful man in India born?,14 November 1889
374,The Colombian airline that has been the national airline and flag carrier of Colombia since 1919 is wholly owned by a company headquartered in what country?,Brazil
375,What is the approximate population of the country that Koularo lies in?,1 million
376,"What actor in Holding the Fort is also known for being a television presenter for shows ""Game for a Laugh"", ""You Bet!"" and ""Stars in Their Eyes""?",Matthew Kelly
377,"What other band was featured on the cover page of the Alternative Press magazine for the ""100 Bands You Need to Know in 2010"" alongside The Cab discography and Never Shout Never?",Hey Monday
378,In what year did the English actor from the film The System die?,1999
379,One of the football forwards who plays for SC Pinkafeld is from which European country that borders Austria?,Slovenia
380,"What is the birthdate of this Count of Luxembourg and King of Bohemia, who was father of Psalter of Bonne de Luxembourg?",10 August 1296
381,Are both Simon Wincer and Patrice Leconte film directors?,yes
382,Who wrote the song that was sung to the famous tune of the composer known as the Father of the Symphony?,Ottokar Kernstock
383,what the real name of the welsh electronic music producer DJ who have been visited the night club called Flex in vienna hundreds of times?,Lincoln Barrett
384,Nakayama Miho no Tokimeki High School included music by the composer best known for the games by what company?,Square Enix
385,What was the 2011 population of the unitary authority area that includes the village Eastoft?,"167,446"
386,Robinsons and Pocari Sweat are both what kind of product?,drink
387,Rani Silautia is an Indian politician from a party having links with which Hindu nationalist organization ?,the Hindu nationalist Rashtriya Swayamsevak Sangh
388,"What is a resort and National Historic Landmark in Palm Beach, Florida, built from 1924 to 1927 by cereal-company heiress and socialite Marjorie Merriweather Post, that has Magazines available for free to members of the resort?",Mar-a-Lago
389,Did both Carl Boese and Franco Zeffirelli direct and produce film?,yes
390,"Route 146, Interstate 890, and what other highway all run through Schenectady, New York?",I-90
391,"Who won the election that ran concurrently with the North Dakota gubernatorial election, 2016?",Donald Trump
392,Who released the album with a single which originally reached number 60 on the UK Singles Chart in 1997?,Wiiija
393,What was the official name for the draft that Thomas E. O'Donnell was a public opponent of?,Conscription in the United States
394,"The creation of Fontana Lake submerged Proctor, North Carolina and what other town?",Judson
395,"Which air force base is the headquarters for the Eastern Air Defense Sector and located 12 mi east of Panama City, Florida?",Tyndall Air Force Base
396,"What vehicle, introduced for model year 2006, does Patrick Carpentier currently drive in the NASCAR Sprint Cup Series?",Ford Fusion
397,When was the company that publishes the journal Magnetic Resonance Imaging established ?,1880
398,"Ian Hunter and Stuart Murdoch, have which musical occupation in common?",lead singer
399,"Signet Jewelers owns what Delaware based retailer, along with Kay and Jared?",Zale Corporation
400,Since when has the automobile driven by Garrett Smithley for MBM Motorsports been sold?,1982
401,Who was the husband of the first olympic gymnast to be awarded a perfect score of 10.0?,Bart Conner
402,What other real life boxer did Mike Williams act with in Rocky V?,Tommy Morrison
403,"Spaceballs is a 1987 American comic science fiction film co-written, produced and directed by Mel Brooks, the film also features which American actor, businessman, and animal welfare advocate, best known for his role as patriarch Tom Bradford on the ABC television comedy-drama ""Eight Is Enough""?",Richard Vincent Van Patten
404,"What Dutch DJ did Richard Bedford collaborate with on the album ""Intense""?",Armin van Buuren
405,Is Advanced Micro Devices or Level 3 Communications headquartered further west?,Advanced Micro Devices
406,Wayne's World featured the actor who was a member of what Chicago comedy troupe?,Second City Theatre
407,Tulapur is a village in which second largest city in Maharashtra?,Pune
408,Peter Bakovic played for which National Hockey League team?,Vancouver Canucks
409,"Who is older, Vincent Walker or David Usher?",David Usher
410,"Yukio Mishima and Roberto Bolaño, are Chilean?",no
411,What telenovela inspired the TV show that the band Eme 15 was formed on in 2012?,Quinceañera
412,"Who released their second album with a band from Louisville, Kentucky?",Andrew Bird
413,Who is married to Jim Tomlinson and released an album entitled Raconte-moi?,Stacey Kent
414,What sport did Jack Sock and Raffaella Reggi play?,tennis
415,"Heartbreak Express, Dolly Parton's 24th solo studio album, featured this re-recording of what song, originally recorded in 1973 and featured in the ""Best Little Whorehouse in Texas Soundtrack""?",I Will Always Love You
416,"In which theatre of New York City did a play, described as Marxism but using the figure from a Christmas pantomime in the United Kingdom, perform?",Adelphi Theatre
417,"The university who was led to six national championships by Paul ""Bear"" Bryant, had its first ever Heisman Trophy winner drafted by what NFL team?",New Orleans Saints
418,"Which actor starring in ""Lisa Picard Is Famous"" was born in Douglas County?",Laura Ellen Kirk
419,"What is based in Sankt Ulrich bei Steyr, Austria?",Steyr Mannlicher
420,"What is the name for the regulatory body of over 25,000 football clubs in Germany?",The DFB Sports Court
421,"Which was halted by a natural disaster, Camlaren Mine or Barton Mine?",Barton Mine
422,Where is the company based that sold Vodafone it's New Zealand operations?,"Atlanta, Georgia"
423,"The Twentieth Century is Almost Over was re-recorded five years later by Cash and Waylon Jennings,  Kris Kristofferson, and  Willie Nelson, one of the most recognized artists in what type of music?",country
424,"Charles Hutchison and Reginald Barker, have which mutual occupation?",film director
425,Was Beyond the Gates of Splendor or Jesus Camp released first?,Beyond the Gates of Splendor
426,"Tura Beach, New South Wales is a suburb of a town that had what population at the 2016 census?","3,544"
427,How many stores are in the major shopping centre that is served by the Garden City bus station?,440
428,Padgate is a suburb of an english town on the banks of the River Mersey whose population was estimated to be 208800 in 2016 but in which unitary authority area is it located?,Cheshire
429,"What band originally from Tucson, Arizona and currently from Albany, New York released their first album in 2000?",Hector on Stilts
430,Are Randal Kleiser and Kyle Schickner of the same nationality?,yes
431,Barbara Jordan and Mark Knowles are both what?,former tennis player
432,Was the president who appointed Thomas C. Mann a democrat or a republican?,Democrat
433,Walter O'Brien was played by which English actor?,Elyes Gabel
434,"What  teen sex comedy film written by Adam Herz and directed by brothers Paul and Chris Weitz, starred an actor best known for her role as Jessica ?",American Pie
435,"The Sia song ""Never Give Up"" is from the soundtrack of a film that is based on what non-fiction book?",A Long Way Home
436,What two skills do Lee Hong-gi and Dee Snider have in common?,"singer-songwriter, actor"
437,What area is the species of Spruce which can be found in Rensselaer Plateau native to?,eastern North America
438,United 300 and 300 were both made in what country?,American
439,"1979, is a song by American alternative rock band, the Smashing Pumpkins, the second single from their third studio album, was released on October 23, 1995 in the UK, is titled?",Mellon Collie and the Infinite Sadness
440,"Lookwell was a television pilot written and produced by Conan O'rien and Robert Smigel, and was a personal favorite of what American television executive who was president of NBC from 1980-1991?",Brandon Tartikoff
441,Where is the globe that succeeded the Globe of Peace as the world's largest rotating globe located?,"Yarmouth, Maine"
442,"Bath School of Art and Design is an art college in Bath, England, it forms part of the Bath Spa University, a public university in Bath, England, with its main campus based at Newton Park on which location?",Duchy of Cornwall land
443,"Are both Nasdaq, Inc. and Citrix Systems catering to the same customer bases?",no
444,Are George Avakian and Bobby Managoff both record producers?,"Robert Manoogian Jr. (January 4, 1918 – April 3, 2002) was an American professional wrestler"
445,"Benji is an upcoming American drama film written, co-produced and directed by who, and is a reboot of the 1974 film of the same name?",Brandon Camp
446,"The man that had a single titled ""That's My Pa"" played what character in the film ""High Noon""?",Ben Miller
447,Barclay Henley was born in a city whose population at the 2010 census was what?,"7,585"
448,Tess Asplund fought against the Neo-Nazi movement that existed in which countries?,"Sweden, Finland, and Norway"
449,"The Pantanal is a mid-size pickup truck made by the Brazilian off-road vehicle manufacturer Troller Veículos Especiais S/A, a manufacturer of off-road vehicles in which country, from 2006 to 2008?",Brazil
450,Where is the there a small medevial castle,Scotland
451,What is the name of this policy of favoring members of a disadvantaged group who suffer or have suffered from discrimination within a culture of which Black Economic Empowerment is a form?,Affirmative action
452,The 32nd TCA Awards were hosted by a  Mexican actor best known for his roles as Fernando Mendiola in what?,La Fea Mas Bella
453,"Are the documentaries Welcome to Durham, USA and The Agronomist both about Durham, North Carolina?",no
454,"Which member of the band Bad Seeds was older, Anita Lane or Nick Cave?",Nick Cave
455,"Which close friend of George Washington, Alexander Hamilton, and Thomas Jefferson, did a scion of the Huger family of South Carolina attempt to rescue?","Gilbert du Motier, Marquis de Lafayette"
456,John Severin was an American comics artist who had a 45 year stint with the magazine Cracked that was founded in what year?,1958
457,Rags Ragland died how many years after starring in Meet the People?,II
458,Do filmmakers Chris Carter and Theo van Gogh share the same nationality?,no
459,What genre is The Warriors Gate?,action
460,Brutti di notte is a parody of the film starring which actress?,Catherine Deneuve
461,What poem by this writer born in September 1872 was used in devotional and spoken word recordings?,Desiderata
462,Rhodochiton and Platystemon are both genuses of what kind of life form?,flowering plants
463,How much is the company that Jessica Alba is associated with worth as of 2015?,$1.7 billion
464,James Mulgrew is the star of which comedy sketch show?,And There's More
465,Elkhan Mammadov is the project leader for the bid for which quadrennial competition?,UEFA Euro 2020
466,"Q: What venue, also called the ""Convent Garden,"" did Adrian Boult conduct for?",The Royal Opera House
467,Jess Weixler starred in what comedy-horror film directed by Mitchell Lichtenstein?,Teeth
468,"Who directed he Paris Opera Ballet from 1983 to 1989 and its chief choreographer until October 1992, and he gave the tittle of étoile to a member of the Paris Opera Ballet from 1978?",Rudolf Khametovich Nureyev
469,Which airline founded by Frank Lorenzo was affected by a strike in 1989?,International Association of Machinists
470,What 2001 novel by Britney Spears is dedicated to an American author and mother of film and television producer Bryan Spears and country singer Jamie Lynn Spears?,A Mother's Gift
471,What county named for a hero in the French and Indian War and a general in the American Revolutionary War is represented by Assemblyman Kevin Byrne?,Putnam County
472,"Rob Jenkins is an Australian actor, which of his movies, was a 2014 science fiction thriller film?",Predestination
473,"What Carnegie library building located in the most populous city in Kansas was built in 1915, and listed on the National Register of Historic Places in 1987?",Wichita City Carnegie Library Building
474,The Centralia Massacre was committed by which pro-Confederate guerrilla leader?,William T. Anderson
475,"What football club has won 3 UFEA Super Cups, and has also employed Scottish footballer Hugh ""Hughie"" Clifford?",Liverpool Football Club
476,Garth Jennings and Lee Cheol-ha shared what occupation?,film director
477,When was the record producer that produced Love Has Come for You born?,22 June 1944
478,"How many weeks did the lead single from Culture Beat's second studio album spend at number one on the ""RPM"" Dance chart in Canada?",ten weeks
479,"Walloon Legion, a collaborationist volunteer unit, that served on the Eastern Front, in which war?",World War II
480,"Before finishing her feature film, Something's Got to Give, when did American actress, model and one of the most popular sex symbols of the 1950s, Marilyn Monroe die?","August 5, 1962"
481,"Which was released second, Charley and the Angel or Planes?",Planes
482,Which of the following documents the issues of the LGBT community: Pride Divide or The Big Melt?,Pride Divide
483,Silent Möbius is heavily influenced by the movie directed by whom?,Ridley Scott
484,What number album of Taylor Swift did Colbie Marie Caillat win a Grammy for?,second
485,"Who was born first, Martin Heidegger or Lydia Davis?",Martin Heidegger
486,Mike Gibbons won the middleweight championship after the previous champion was found murdered where?,Missouri
487,Are Thums Up and Mott's based in the same country?,no
488,What roles does American actress which  Manfish featured in  the motion picture debut of do play,comic roles
489,"Which genus has more species, Fir or Chelone?",Firs
490,John Kassir and Tom Kenny both voice this one character?,Ice King
491,What year did the the German composer whose compositions are in The Individualism of Gil Evans die?,1950
492,At which laboratory was Carsten Olsen employed as an assistant to the Danish chemist who introduced the concept of pH?,Carlsberg Laboratory
493,What nationality is the male lead of the film Fishtales?,American
494,What German automotive marque does the high-performance aftermarket tuning company Brabus specialize in?,Smart
495,Which 20th Century Fox film cast Zazie Beetz as Domino?,Deadpool 2
496,Which American animated television series created by Trey Parker and Matt Stone features a character called Butters who thinks up schemes to take over the world in its 86th episode?,South Park
497,"Which stadium hosts the rivalry game between the all-male, historically African American College located in Atlanta and Tuskegee?",J. McClung Memorial Stadium
498,Do both Juniper and Indigofera belong to the cypress family Cupressaceae?,no
499,Who is the current world record holder in high jump and uncle of Lorenzo Sotomayor Collazo?,Javier Sotomayor
500,"What film director is from Great Britain, Miloš Forman or Alex Cox?","Alexander ""Alex"" Cox"
501,What Category 5 hurricane cause the Sqannanoa River to flood?,Hurricane Ivan
502,Navarone Garibaldi is the half-brother of a singer who has been married how many times?,four
503,What was The original name of the Football club Samuel Johnson moved to in 1901?,the club was founded as Newton Heath LYR
504,Both the Drever and Finnish Hound are two dog breeds that are bred for what purpose?,bred for hunting
505,"Who has won more Grand Slam doubles titles, Elizabeth Smylie or Vasek Pospisil?",Elizabeth Smylie
506,"In the 1990's, who built one of the three mills landmarks in California?",Petrie Dierman Kughn in 1994.
507,Which former lawyer and entrepreneur who was convicted for conspiracy and drug dealing was involved in a civil suit against Bill and Hillary Clinton?,Peter F. Paul
508,Girard city is located in a county with how many inhabitants ?,"39,134"
509,What year was the series published that recounts the adventures of Anne Shirley and published by Scholastic Press?,1908
510,The 1932 German football championship Final was played at a stadium that opened in what year?,1928
511,"Dharmatama is a 1975 Hindi thriller movie, and the first Bollywood film to be shot in Afghanistan,the title character was based on matka, king Ratan Khatri, Matka"" gambling or satta"" is a form of lottery which originally involved betting on the opening and closing rates of cotton transmitted from where?",New York Cotton Exchange
512,"What American composer who died in 1978 was associated with an American Opera Company located in Jackson, Mississippi?",William Grant Still
513,What occupation was shared by both John Frankenheimer and Tiffanie DeBartolo?,director
514,"What is the population of the largest city in Iraq, who's 1956–57 Iraq FA Cup Championship was open to teams from the capital?","8,765,000"
515,What wrestling promotion was formed by the current NEVER Openweight Champion?,Pro Wrestling Fujiwara Group
516,"Which mine in California, lasting from 1873 to 1883, became one of the most noted mercury producers in the world?",Sulphur Bank Mine
517,"Name the mother of Edward Stafford, 4th Baron Stafford, who was the daughter of the English nobleman and politician Edward Stanley, 3rd Earl of Derby?",Mary Stanley
518,"Which author was born first, Lorraine Hansberry or Sandra Gulland?",Lorraine Vivian Hansberry
519,What is the Kaurna name of the river that runs along Mount Torrens in South Australia?,Ngangkiparri
520,What does the L stand for in Patriot Games star Samuel L. Jackson's name?,Leroy
521,"Which movie was co-written by the person who directed ""Blood""?",The Awakening
522,Are Kelly Jones and Martha Reeves both singers?,yes
523,"Which professional American football team based in Ohio did Ivan ""John"" Jurkovic play for?",Cleveland Browns
524,Who is the oldest of the Van Dyke family?,Dick Van Dyke
525,"Choi Min-sik, is a South Korean actor, he also starred alongside Scarlett Johansson in Lucy, an English-language French science fiction action film written and directed by who?",Luc Besson
526,Snow White is a Disney media franchise based on a German fairy tale by who?,Brothers Grimm
527,What connection does the private liberal arts college known for its distinctive curriculum centered on reading and discussing the Great Books of Western Civilization have to] EnVISIONing Annapolis?,Important contributors and co-sponsors
528,The Prancing Horse was used by which top Italian fighter ace?,Count Francesco Baracca
529,"What Bible college located in Louisville, Kentucky, was attended by Paul R. House who served for a time as president of the Evangelical Theological Society?",Southern Baptist Theological Seminary
530,Joan Jett & the Blackhearts covered a song by the first westerner to achieve pop start status in Japan. When was that song first recorded?,1975
531,This Federation of Indian Airlines member is owned by what Indian business conglomerate?,Wadia Group
532,"MindGamers is a 2015 Austrian science fiction film directed by who, the film stars Antonia Campbell-Hughes, a Northern Irish actress and former fashion designer, best known for appearing in Jack Dee's sitcom ""Lead Balloon""?",Andrew Goth
533,When was Jordan Mintz whictleblowing publicized?,October 2001
534,Who played the onscreen husband of a variety show banjo player?,"banjo player and former member of the television variety show ""Hee Haw"" gang having played the role of Ida Lee Nagger, the ironing, nagging wife of Laverne Nagger (Gordie Tapp)."
535,The motorway reffered to as the Mid Wirral Motorway is located in a suburb known for which buildings?,Joseph Groome Towers
536,What suicide attack was located inside the Forward Operating Base Chapman?,Camp Chapman attack
537,"What principal dancer in the Bolshoi ballet, born in 1988, is a student of Valery Lagunov?",Vladislav Lantratov
538,what was the birth year of the fifth governor of a British colony in north America that existed from 1632 to 1776?,1626
539,"What is a semi-professional football club in Hyde, Greater Manchester, England?",Hyde United Football Club
540,"The pop singer in the lead role in ""Tere Bin Laden"" received how many Lux Style Awards?",five
541,What's Golden was included in an open world racing video game that was developed by Playground Games and published by who?,Microsoft Studios
542,Which province in the north of the island of Ireland did Queen Medb of Connacht made his invasion,Ulster
543,Jeremy Brock is the writer and director of this 2011 drama that was adapted from him and what other female?,Rosemary Sutcliff
544,Gabe Turner has collaborated with the actor and film director who won his first Academy Award in which 1995 crime thriller?,The Usual Suspects
545,Door into the Dark is a poetry collection by a man that received the Nobel Prize in Literature in what year?,1995
546,"The author of the book ""A New Kind of Science"" designed a computer algebra system at which university?",Caltech
547,"""Just a Lil Bit"" is the third single from 50 Cent's second album, ""The Massacre"", released on which date?","March 3, 2005"
548,"Mark Rankin and Cedric Bixler-Zavala, band is what type genre?",rock
549,"A Common Man is a 2013 American-Sri Lankan thriller film starring Ben Kingsley, an English actor with a career spanning more than how many years?",40 years
550,Which highway that has a junction at Cairo Junction is 1286 miles long?,U.S. Route 51
551,Summit1g started streaming the battle royale game published by which company?,PUBG Corp.
552,"Which documentary was released earlier, Almost Sunrise or 51 Birch Street?",51 Birch Street
553,"Faugh a Ballagh, is a battle cry of Irish origin, meaning ""clear the way"", and today it remains the motto of which (27th (Inniskilling) 83rd and 87th and Ulster Defence Regiment) (R IRISH) is an infantry regiment of the British Army?",Royal Irish Regiment
554,"Four Shores, is an album from the Latvian band Brainstorm, Lonely Feeling"" is dedicated to which Swedish-born American film actress, during the 1920s and 1930s?",Greta Garbo
555,When was the band for which Bob Welch was a guitarist formed ?,1967
556,"""I Saw Her Again"" was co-written by what Canadian singer born in 1940?",Dennis Gerrard Stephen Doherty
557,What is the name of the character in Quantico played by the same actor who starred in Tower Block?,Harry Doyle
558,"WHo is a Grammy winning American musician of Armenian descent, Armen Nalbandian or Arto Tunçboyacıyan?",Arto Tunçboyacıyan
559,Seoul Train and Making North America are both films in what style of cinema or film making genre?,documentary
560,"War for the Planet of the Apes is a 2017 American science fiction film directed by Matt Reeves, a sequel to which 2014 American science fiction film directed by Matt Reeves and written by Mark Bomback, Rick Jaffa and Amanda Silver?",Dawn of the Planet of the Apes
561,"Which composer was Hungarian, Béla Bartók or Johann Christoph Pepusch?",Béla Viktor János Bartók
562,"Enterprise Car Sales was established in 1962 by founder Jack Taylor, which American car rental company headquartered in Clayton, Missouri, United States in Greater St. Louis?",Enterprise Rent-A-Car
563,"Which American guitarist and bluegrass musician from Danville, Virginia did Rebecca Rippy play or share the stage with?",Tony Rice
564,"Borovička (also known as Juniper brandy), is a Slovak alcoholic beverage flavored with juniper berries, today's commercially produced borovička contains about 40% alcohol by volume, what is it called, also called alcohol, ethyl alcohol, and drinking alcohol, is a compound and simple alcohol with the chemical formula C2H5OH?",Ethanol
565,"The 2016 Miami Dolphins season was the franchise's 47th season in the National Football League, the 51st overall and the first under head coach Adam Gase, with their Week 15 win over the New York Jets, the Dolphins clinched a winning record for the first time since 2008, and clinched a playoff berth the following week after which franchise's 47th season in the National Football League, the 57th overall and the fourth under head coach Andy Reid and the fourth and final season under general manager John Dorsey who was fired June 22, 2017?",2016 Kansas City Chiefs season
566,The Volkswagen Golf Estate is the estate/station wagon version a the compact car which was the best selling car in Europe in what year?,2001
567,"What was the name of the band that starred Belinda Carlisle and released the album, Germicide in 1977?",The Go-Go's
568,Logan Lerman starred in which 2017 drama directed by Shawn Christensen?,Sidney Hall
569,"Which plant, Buddleja or Burchardia, is an herb named after a German botanist?",Burchardia
570,What Brazilian professional footballer endorsed the Mercurial Vapor boot?,Philippe Coutinho Correia
571,"Which film was released first, Roving Mars or The London Connection?",The London Connection
572,"Blake Alexander Carrington is a fictional character on the ABC television series ""Dynasty"", created by Richard and Esther Shapiro whose role was portrayed by John Forsythe, and also appeared as a guest on several talk and variety shows and as a panelist on what type of television show?",game shows
573,Knocked Up starred the actor and filmmaker of what dual nationality?,American-Canadian
574,What is the capital of the archipelago where Djoièzi is located?,Moroni
575,What is the capital of the state Curly Ray Cline is from?,Charleston
576,Fritz von Brodowski was killed during what global war that lasted from 1939 to 1945?,World War II
577,What state are both Wizzo and YG based in?,California
578,In what country are the cities Guilin and Ankang located?,China
579,"Which genus has a name derives from Greek words, Micromeria or Pamianthe?",Micromeria
580,Are San Diego International Airport and McCarran International Airport located in the same state?,no
581,Are Manettia and Fragaria both edible?,no
582,The 34th Foot Regiment was sent to fight who?,Americans
583,"Splendor in the Grass was a film directed by a Greek-American director described as ""one of the most honored and influential directors in Broadway and Hollywood history"" by who?",The New York Times
584,Sameera Perera is a cricketer from what island country located southeast of the Republic of India and northeast of the Maldives?,Sri Lanka
585,"Abraham Bankier was one of the owners of the Rekord factory that was taken over by a German Industrialist, spy, and member of the Nazi Party who is credited with saving how many Jews during the Holocaust?","1,200"
586,"Sam Goody, who was run by Musicland Group, Inc., filed bankrupcy in which year?",2006
